anio,anio_enfr,prov_id,prov_nombre,grupo_edad,grupo_edad_10,sexo,proy_pob
2005,2005,54,Misiones,20 a 24,20 a 29,Mujer,44974
2005,2005,54,Misiones,25 a 29,20 a 29,Varón,37949
2005,2005,54,Misiones,25 a 29,20 a 29,Mujer,38365
2005,2005,54,Misiones,30 a 34,30 a 39,Varón,31987
2005,2005,54,Misiones,30 a 34,30 a 39,Mujer,32221
2005,2005,54,Misiones,35 a 39,30 a 39,Varón,29443
2005,2005,54,Misiones,35 a 39,30 a 39,Mujer,29565
2005,2005,54,Misiones,40 a 44,40 a 49,Varón,29110
2005,2005,54,Misiones,40 a 44,40 a 49,Mujer,28478
2005,2005,54,Misiones,45 a 49,40 a 49,Varón,25831
2005,2005,54,Misiones,45 a 49,40 a 49,Mujer,25266
2005,2005,54,Misiones,50 a 54,50 a 59,Varón,21978
2005,2005,54,Misiones,50 a 54,50 a 59,Mujer,20629
2005,2005,54,Misiones,55 a 59,50 a 59,Varón,16654
2005,2005,54,Misiones,55 a 59,50 a 59,Mujer,15786
2005,2005,54,Misiones,60 a 64,60 a 69,Varón,13013
2005,2005,54,Misiones,60 a 64,60 a 69,Mujer,12952
2005,2005,54,Misiones,65 a 69,60 a 69,Varón,10834
2005,2005,54,Misiones,65 a 69,60 a 69,Mujer,11243
2005,2005,54,Misiones,70 a 74,70 a 79,Varón,8072
2005,2005,54,Misiones,70 a 74,70 a 79,Mujer,8788
2005,2005,54,Misiones,75 a 79,70 a 79,Varón,5305
2005,2005,54,Misiones,75 a 79,70 a 79,Mujer,6189
2005,2005,54,Misiones,80+,80+,Varón,3941
2005,2005,54,Misiones,80+,80+,Mujer,5568
2005,2005,58,Neuquén,20 a 24,20 a 29,Varón,23109
2005,2005,58,Neuquén,20 a 24,20 a 29,Mujer,22298
2005,2005,58,Neuquén,25 a 29,20 a 29,Varón,21879
2005,2005,58,Neuquén,25 a 29,20 a 29,Mujer,21720
2005,2005,58,Neuquén,30 a 34,30 a 39,Varón,19799
2005,2005,58,Neuquén,30 a 34,30 a 39,Mujer,20253
2005,2005,58,Neuquén,35 a 39,30 a 39,Varón,18055
2005,2005,58,Neuquén,35 a 39,30 a 39,Mujer,18163
2005,2005,58,Neuquén,40 a 44,40 a 49,Varón,16523
2005,2005,58,Neuquén,40 a 44,40 a 49,Mujer,16972
2005,2005,58,Neuquén,45 a 49,40 a 49,Varón,14531
2005,2005,58,Neuquén,45 a 49,40 a 49,Mujer,14787
2005,2005,58,Neuquén,50 a 54,50 a 59,Varón,12538
2005,2005,58,Neuquén,50 a 54,50 a 59,Mujer,12766
2005,2005,58,Neuquén,55 a 59,50 a 59,Varón,9792
2005,2005,58,Neuquén,55 a 59,50 a 59,Mujer,9884
2005,2005,58,Neuquén,60 a 64,60 a 69,Varón,7306
2005,2005,58,Neuquén,60 a 64,60 a 69,Mujer,7367
2005,2005,58,Neuquén,65 a 69,60 a 69,Varón,5390
2005,2005,58,Neuquén,65 a 69,60 a 69,Mujer,5797
2005,2005,58,Neuquén,70 a 74,70 a 79,Varón,3750
2005,2005,58,Neuquén,70 a 74,70 a 79,Mujer,4503
2005,2005,58,Neuquén,75 a 79,70 a 79,Varón,2438
2005,2005,58,Neuquén,75 a 79,70 a 79,Mujer,3382
2005,2005,58,Neuquén,80+,80+,Varón,1899
2005,2005,58,Neuquén,80+,80+,Mujer,3410
2005,2005,62,Río Negro,20 a 24,20 a 29,Varón,25444
2005,2005,62,Río Negro,20 a 24,20 a 29,Mujer,24526
2005,2005,62,Río Negro,25 a 29,20 a 29,Varón,22102
2005,2005,62,Río Negro,25 a 29,20 a 29,Mujer,21974
2005,2005,62,Río Negro,30 a 34,30 a 39,Varón,20178
2005,2005,62,Río Negro,30 a 34,30 a 39,Mujer,20482
