anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,62,Río Negro,Femenino,60 a 64,4
2005,62,Río Negro,Femenino,65 a 69,5
2005,62,Río Negro,Femenino,70 a 74,6
2005,62,Río Negro,Femenino,75 a 79,8
2005,62,Río Negro,Femenino,80 y más,16
2005,66,Salta,Masculino,10 a 14,0
2005,66,Salta,Masculino,15 a 19,0
2005,66,Salta,Masculino,20 a 24,0
2005,66,Salta,Masculino,25 a 29,0
2005,66,Salta,Masculino,30 a 34,1
2005,66,Salta,Masculino,35 a 39,1
2005,66,Salta,Masculino,40 a 44,1
2005,66,Salta,Masculino,45 a 49,3
2005,66,Salta,Masculino,50 a 54,3
2005,66,Salta,Masculino,55 a 59,6
2005,66,Salta,Masculino,60 a 64,5
2005,66,Salta,Masculino,65 a 69,14
2005,66,Salta,Masculino,70 a 74,6
2005,66,Salta,Masculino,75 a 79,3
2005,66,Salta,Masculino,80 y más,11
2005,66,Salta,Femenino,10 a 14,0
2005,66,Salta,Femenino,15 a 19,0
2005,66,Salta,Femenino,20 a 24,2
2005,66,Salta,Femenino,25 a 29,0
2005,66,Salta,Femenino,30 a 34,0
2005,66,Salta,Femenino,35 a 39,0
2005,66,Salta,Femenino,40 a 44,1
2005,66,Salta,Femenino,45 a 49,0
2005,66,Salta,Femenino,50 a 54,2
2005,66,Salta,Femenino,55 a 59,3
2005,66,Salta,Femenino,60 a 64,3
2005,66,Salta,Femenino,65 a 69,7
2005,66,Salta,Femenino,70 a 74,11
2005,66,Salta,Femenino,75 a 79,11
2005,66,Salta,Femenino,80 y más,9
2005,70,San Juan,Masculino,10 a 14,0
2005,70,San Juan,Masculino,15 a 19,0
2005,70,San Juan,Masculino,20 a 24,1
2005,70,San Juan,Masculino,25 a 29,0
2005,70,San Juan,Masculino,30 a 34,0
2005,70,San Juan,Masculino,35 a 39,0
2005,70,San Juan,Masculino,40 a 44,2
2005,70,San Juan,Masculino,45 a 49,2
2005,70,San Juan,Masculino,50 a 54,6
2005,70,San Juan,Masculino,55 a 59,11
2005,70,San Juan,Masculino,60 a 64,19
2005,70,San Juan,Masculino,65 a 69,28
2005,70,San Juan,Masculino,70 a 74,24
2005,70,San Juan,Masculino,75 a 79,33
2005,70,San Juan,Masculino,80 y más,31
2005,70,San Juan,Femenino,10 a 14,1
