anio_enfr,codprov_censo,prov_nombre,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,34,Formosa,NEA,40 a 49,Mujer,9,3,97340.83661,4492775.462499999,46.15509398692027,138.46528196076082
2005,34,Formosa,NEA,40 a 49,Varón,2,0.6666666666666666,95386.37498,3914498.4263,41.03833935528808,27.358892903525387
2005,34,Formosa,NEA,50 a 59,Mujer,33,11,95441.65065,4007943.3663,41.99365097946365,461.93016077410016
2005,34,Formosa,NEA,50 a 59,Varón,39,13,92417.20236,3440462.4833,37.227511712571605,483.9576522634309
2005,34,Formosa,NEA,60 a 69,Mujer,49,16.333333333333332,91170.49198,3534888.1766999997,38.772283662519285,633.2806331544816
2005,34,Formosa,NEA,60 a 69,Varón,52,17.333333333333332,85071.85545,2985441.5738,35.09317573959179,608.281712819591
2005,34,Formosa,NEA,70 a 79,Mujer,79,26.333333333333332,81312.23623,3089197.6009,37.991792430377735,1000.450533999947
2005,34,Formosa,NEA,70 a 79,Varón,57,19,68546.20957,2577191.6172,37.59787205400685,714.3595690261301
2005,34,Formosa,NEA,80+,Mujer,46,15.333333333333334,97889.69055,2704000.1218,27.622930531370443,423.55160148101345
2005,34,Formosa,NEA,80+,Varón,22,7.333333333333333,96298.78607,2266735.9454,23.538572373615384,172.6161974065128
2005,38,Jujuy,NOA1,30 a 39,Mujer,0,0,98257.61885,4983143.736,50.71508748453657,0
2005,38,Jujuy,NOA1,30 a 39,Varón,0,0,96997.57994,4397739.3413,45.33865013972843,0
2005,38,Jujuy,NOA1,40 a 49,Mujer,1,0.3333333333333333,97340.83661,4492775.462499999,46.15509398692027,15.385031328973422
2005,38,Jujuy,NOA1,40 a 49,Varón,10,3.3333333333333335,95386.37498,3914498.4263,41.03833935528808,136.79446451762695
2005,38,Jujuy,NOA1,50 a 59,Mujer,15,5,95441.65065,4007943.3663,41.99365097946365,209.96825489731827
2005,38,Jujuy,NOA1,50 a 59,Varón,17,5.666666666666667,92417.20236,3440462.4833,37.227511712571605,210.95589970457243
2005,38,Jujuy,NOA1,60 a 69,Mujer,37,12.333333333333334,91170.49198,3534888.1766999997,38.772283662519285,478.19149850440454
2005,38,Jujuy,NOA1,60 a 69,Varón,36,12,85071.85545,2985441.5738,35.09317573959179,421.1181088751015
2005,38,Jujuy,NOA1,70 a 79,Mujer,46,15.333333333333334,81312.23623,3089197.6009,37.991792430377735,582.5408172657919
2005,38,Jujuy,NOA1,70 a 79,Varón,33,11,68546.20957,2577191.6172,37.59787205400685,413.57659259407535
2005,38,Jujuy,NOA1,80+,Mujer,27,9,97889.69055,2704000.1218,27.622930531370443,248.606374782334
2005,38,Jujuy,NOA1,80+,Varón,19,6.333333333333333,96298.78607,2266735.9454,23.538572373615384,149.07762503289743
2005,42,La Pampa,Patagonia Norte,30 a 39,Mujer,0,0,98257.61885,4983143.736,50.71508748453657,0
2005,42,La Pampa,Patagonia Norte,30 a 39,Varón,0,0,96997.57994,4397739.3413,45.33865013972843,0
2005,42,La Pampa,Patagonia Norte,40 a 49,Mujer,3,1,97340.83661,4492775.462499999,46.15509398692027,46.15509398692027
2005,42,La Pampa,Patagonia Norte,40 a 49,Varón,1,0.3333333333333333,95386.37498,3914498.4263,41.03833935528808,13.679446451762693
2005,42,La Pampa,Patagonia Norte,50 a 59,Mujer,4,1.3333333333333333,95441.65065,4007943.3663,41.99365097946365,55.991534639284865
2005,42,La Pampa,Patagonia Norte,50 a 59,Varón,8,2.6666666666666665,92417.20236,3440462.4833,37.227511712571605,99.27336456685761
2005,42,La Pampa,Patagonia Norte,60 a 69,Mujer,12,4,91170.49198,3534888.1766999997,38.772283662519285,155.08913465007714
2005,42,La Pampa,Patagonia Norte,60 a 69,Varón,19,6.333333333333333,85071.85545,2985441.5738,35.09317573959179,222.25677968408135
2005,42,La Pampa,Patagonia Norte,70 a 79,Mujer,15,5,81312.23623,3089197.6009,37.991792430377735,189.95896215188867
2005,42,La Pampa,Patagonia Norte,70 a 79,Varón,30,10,68546.20957,2577191.6172,37.59787205400685,375.9787205400685
2005,42,La Pampa,Patagonia Norte,80+,Mujer,43,14.333333333333334,97889.69055,2704000.1218,27.622930531370443,395.92867094964305
2005,42,La Pampa,Patagonia Norte,80+,Varón,17,5.666666666666667,96298.78607,2266735.9454,23.538572373615384,133.3852434504872
2005,46,La Rioja,Cuyo,30 a 39,Mujer,1,0.3333333333333333,98257.61885,4983143.736,50.71508748453657,16.90502916151219
2005,46,La Rioja,Cuyo,30 a 39,Varón,1,0.3333333333333333,96997.57994,4397739.3413,45.33865013972843,15.112883379909476
2005,46,La Rioja,Cuyo,40 a 49,Mujer,5,1.6666666666666667,97340.83661,4492775.462499999,46.15509398692027,76.92515664486712
2005,46,La Rioja,Cuyo,40 a 49,Varón,2,0.6666666666666666,95386.37498,3914498.4263,41.03833935528808,27.358892903525387
2005,46,La Rioja,Cuyo,50 a 59,Mujer,11,3.6666666666666665,95441.65065,4007943.3663,41.99365097946365,153.9767202580334
2005,46,La Rioja,Cuyo,50 a 59,Varón,19,6.333333333333333,92417.20236,3440462.4833,37.227511712571605,235.77424084628683
2005,46,La Rioja,Cuyo,60 a 69,Mujer,19,6.333333333333333,91170.49198,3534888.1766999997,38.772283662519285,245.5577965292888
2005,46,La Rioja,Cuyo,60 a 69,Varón,23,7.666666666666667,85071.85545,2985441.5738,35.09317573959179,269.04768067020376
2005,46,La Rioja,Cuyo,70 a 79,Mujer,20,6.666666666666667,81312.23623,3089197.6009,37.991792430377735,253.27861620251824
