anio,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2005,22,Chaco,NEA,Mujer,80+,5982,NA,671649
2005,22,Chaco,NEA,Varón,30 a 39,60093,NA,2875168
2005,22,Chaco,NEA,Varón,40 a 49,54752,NA,2226600
2005,22,Chaco,NEA,Varón,50 a 59,41264,NA,1896227
2005,22,Chaco,NEA,Varón,60 a 69,24657,NA,1360347
2005,22,Chaco,NEA,Varón,70 a 79,13677,NA,769536
2005,22,Chaco,NEA,Varón,80+,3833,NA,329851
2005,26,Chubut,Patagonia Sur,Mujer,30 a 39,30744,NA,2948351
2005,26,Chubut,Patagonia Sur,Mujer,40 a 49,26677,NA,2333346
2005,26,Chubut,Patagonia Sur,Mujer,50 a 59,20155,NA,2043266
2005,26,Chubut,Patagonia Sur,Mujer,60 a 69,13169,NA,1572788
2005,26,Chubut,Patagonia Sur,Mujer,70 a 79,8115,NA,1067525
2005,26,Chubut,Patagonia Sur,Mujer,80+,3315,NA,671649
2005,26,Chubut,Patagonia Sur,Varón,30 a 39,31219,NA,2875168
2005,26,Chubut,Patagonia Sur,Varón,40 a 49,27159,NA,2226600
2005,26,Chubut,Patagonia Sur,Varón,50 a 59,20202,NA,1896227
2005,26,Chubut,Patagonia Sur,Varón,60 a 69,12664,NA,1360347
2005,26,Chubut,Patagonia Sur,Varón,70 a 79,6444,NA,769536
2005,26,Chubut,Patagonia Sur,Varón,80+,1902,NA,329851
2005,30,Entre Ríos,Centro,Mujer,30 a 39,76493,NA,2948351
2005,30,Entre Ríos,Centro,Mujer,40 a 49,69905,NA,2333346
2005,30,Entre Ríos,Centro,Mujer,50 a 59,59118,NA,2043266
