prov_id,grupo_edad,sexo,anio,value
50,75-79,Varón,2001,12540
50,75-79,Mujer,2001,17642
50,75-79,Varón,2005,14364
50,75-79,Mujer,2005,20478
50,80 y más,Varón,2001,9524
50,80 y más,Mujer,2001,16666
50,80 y más,Varón,2005,11904
50,80 y más,Mujer,2005,20531
54,20-24,Varón,2001,41441
54,20-24,Mujer,2001,41493
54,20-24,Varón,2005,46083
54,20-24,Mujer,2005,44974
54,25-29,Varón,2001,34017
54,25-29,Mujer,2001,34196
54,25-29,Varón,2005,37949
54,25-29,Mujer,2005,38365
54,30-34,Varón,2001,29666
54,30-34,Mujer,2001,30116
54,30-34,Varón,2005,31987
54,30-34,Mujer,2005,32221
54,35-39,Varón,2001,29397
54,35-39,Mujer,2001,29092
54,35-39,Varón,2005,29443
54,35-39,Mujer,2005,29565
54,40-44,Varón,2001,26773
54,40-44,Mujer,2001,26444
54,40-44,Varón,2005,29110
54,40-44,Mujer,2005,28478
54,45-49,Varón,2001,23335
54,45-49,Mujer,2001,22112
54,45-49,Varón,2005,25831
54,45-49,Mujer,2005,25266
54,50-54,Varón,2001,18330
54,50-54,Mujer,2001,17110
54,50-54,Varón,2005,21978
54,50-54,Mujer,2005,20629
54,55-59,Varón,2001,14433
54,55-59,Mujer,2001,13883
54,55-59,Varón,2005,16654
54,55-59,Mujer,2005,15786
54,60-64,Varón,2001,12375
54,60-64,Mujer,2001,12281
54,60-64,Varón,2005,13013
54,60-64,Mujer,2005,12952
54,65-69,Varón,2001,9898
54,65-69,Mujer,2001,10044
54,65-69,Varón,2005,10834
54,65-69,Mujer,2005,11243
54,70-74,Varón,2001,7185
54,70-74,Mujer,2001,7558
54,70-74,Varón,2005,8072
54,70-74,Mujer,2005,8788
54,75-79,Varón,2001,4361
54,75-79,Mujer,2001,5114
54,75-79,Varón,2005,5305
54,75-79,Mujer,2005,6189
54,80 y más,Varón,2001,3427
54,80 y más,Mujer,2001,4789
54,80 y más,Varón,2005,3941
54,80 y más,Mujer,2005,5568
58,20-24,Varón,2001,22190
58,20-24,Mujer,2001,21625
58,20-24,Varón,2005,23109
58,20-24,Mujer,2005,22298
58,25-29,Varón,2001,19897
58,25-29,Mujer,2001,20155
58,25-29,Varón,2005,21879
58,25-29,Mujer,2005,21720
58,30-34,Varón,2001,18068
58,30-34,Mujer,2001,18044
58,30-34,Varón,2005,19799
58,30-34,Mujer,2005,20253
58,35-39,Varón,2001,16829
58,35-39,Mujer,2001,17203
58,35-39,Varón,2005,18055
58,35-39,Mujer,2005,18163
58,40-44,Varón,2001,15134
58,40-44,Mujer,2001,15195
58,40-44,Varón,2005,16523
58,40-44,Mujer,2005,16972
58,45-49,Varón,2001,13303
58,45-49,Mujer,2001,13292
58,45-49,Varón,2005,14531
58,45-49,Mujer,2005,14787
58,50-54,Varón,2001,10741
58,50-54,Mujer,2001,10537
58,50-54,Varón,2005,12538
